VARIABLE,BIN_VALUE,BOUND_TYPE,LOWER_BOUND,UPPER_BOUND
AGE,20-29,"[LOWER, UPPER)",20,30
AGE,30-39,"[LOWER, UPPER)",30,40
AGE,40-49,"[LOWER, UPPER)",40,50
AGE,50-59,"[LOWER, UPPER)",50,60
AGE,60+,"[LOWER, INFINITY)",60,
EMPLOYMENT_DURATION,<1,"[LOWER, UPPER)",0,1
EMPLOYMENT_DURATION,1-3,"[LOWER, UPPER)",1,3
EMPLOYMENT_DURATION,3-5,"[LOWER, UPPER)",3,5
EMPLOYMENT_DURATION,5-10,"[LOWER, UPPER)",5,10
EMPLOYMENT_DURATION,10+,"[LOWER, INFINITY)",10,
CREDIT_AMOUNT,<250K,"[LOWER, UPPER)",0,250000
CREDIT_AMOUNT,250K-500K,"[LOWER, UPPER)",250000,500000
CREDIT_AMOUNT,500K-1M,"[LOWER, UPPER)",500000,1000000
CREDIT_AMOUNT,1M+,"[LOWER, INFINITY)",1000000,
INCOME_TYPE,Commercial associate,CATEGORICAL,1000000,
INCOME_TYPE,Other / Rare,CATEGORICAL,1000000,
INCOME_TYPE,Pensioner,CATEGORICAL,1000000,
INCOME_TYPE,State servant,CATEGORICAL,1000000,
INCOME_TYPE,Working,CATEGORICAL,1000000,
EDUCATION,Academic degree,CATEGORICAL,1000000,
EDUCATION,Higher education,CATEGORICAL,1000000,
EDUCATION,Incomplete higher,CATEGORICAL,1000000,
EDUCATION,Lower secondary,CATEGORICAL,1000000,
EDUCATION,Secondary / secondary special,CATEGORICAL,1000000,
FAMILY_STATUS,Civil marriage,CATEGORICAL,1000000,
FAMILY_STATUS,Married,CATEGORICAL,1000000,
FAMILY_STATUS,Separated,CATEGORICAL,1000000,
FAMILY_STATUS,Single / not married,CATEGORICAL,1000000,
FAMILY_STATUS,Unknown,CATEGORICAL,1000000,
FAMILY_STATUS,Widow,CATEGORICAL,1000000,
