RISK_DECILE,APPLICATIONS,BAD_APPLICATIONS,ACTUAL_BAD_RATE,AVERAGE_PD,MIN_PD,MAX_PD,CUM_APPLICATIONS,CUM_BAD_APPLICATIONS,CUM_APPLICATION_RATE,CUM_BAD_RATE,LIFT
1,9215,1421,15.42%,14.57%,13.11%,21.15%,9215,1421,9.99%,19.08%,1.910
2,9242,1184,12.81%,12.22%,11.35%,13.09%,18457,2605,20.01%,34.98%,1.587
3,9199,923,10.03%,10.64%,10.00%,11.34%,27656,3528,29.98%,47.37%,1.243
4,9190,783,8.52%,9.26%,8.56%,10.00%,36846,4311,39.94%,57.89%,1.055
5,9161,680,7.42%,8.04%,7.53%,8.55%,46007,4991,49.87%,67.02%,0.920
6,9305,618,6.64%,6.99%,6.48%,7.52%,55312,5609,59.96%,75.32%,0.823
7,9252,539,5.83%,6.04%,5.68%,6.48%,64564,6148,69.99%,82.56%,0.722
8,9250,487,5.26%,5.24%,4.85%,5.67%,73814,6635,80.01%,89.10%,0.652
9,9247,451,4.88%,4.44%,4.01%,4.85%,83061,7086,90.04%,95.15%,0.604
10,9191,361,3.93%,3.19%,0.56%,4.01%,92252,7447,100.00%,100.00%,0.487
