CATEGORY,ATTRIBUTE,VALUE
MODEL,MODEL_NAME,Application Credit Risk Model
MODEL,MODEL_VERSION,Application Model v1.0
MODEL,TARGET,TARGET = 1 Default / TARGET = 0 Good
MODEL,METHOD,Logistic Regression with WOE Transformation
FEATURES,NUMBER_OF_FEATURES,6
FEATURES,FEATURE_1,AGE
FEATURES,FEATURE_2,EMPLOYMENT_DURATION
FEATURES,FEATURE_3,INCOME_TYPE
FEATURES,FEATURE_4,EDUCATION
FEATURES,FEATURE_5,CREDIT_AMOUNT
FEATURES,FEATURE_6,FAMILY_STATUS
DATA,TOTAL_OBSERVATIONS,307511
DATA,DEVELOPMENT_OBSERVATIONS,215259
DATA,VALIDATION_OBSERVATIONS,92252
DATA,BAD_RATE,8.07%
PERFORMANCE,DEVELOPMENT_AUC,0.6338
PERFORMANCE,VALIDATION_AUC,0.6307
PERFORMANCE,DEVELOPMENT_GINI,0.2676
PERFORMANCE,VALIDATION_GINI,0.2614
PERFORMANCE,DEVELOPMENT_KS,19.78%
PERFORMANCE,VALIDATION_KS,19.75%
PERFORMANCE,DEVELOPMENT_BRIER,0.072921
PERFORMANCE,VALIDATION_BRIER,0.072982
SCORECARD,BASE_SCORE,600
SCORECARD,BASE_ODDS,50:1 Good:Bad
SCORECARD,PDO,20
RISK,HIGH_RISK,Score <= 549
RISK,MEDIUM_RISK,Score 550 - 599
RISK,LOW_RISK,Score >= 600
LIMITATION,EXTERNAL_CREDIT_SCORE,Not used in Application Model
LIMITATION,DECISION_USE,Risk estimation / analytical support
