THRESHOLD,TRUE_POSITIVE,TRUE_NEGATIVE,FALSE_POSITIVE,FALSE_NEGATIVE,SENSITIVITY,SPECIFICITY,PRECISION,ACCURACY,F1_SCORE
1.00%,7447,14,84791,0,100.00%,0.02%,8.07%,8.09%,14.94%
2.00%,7435,345,84460,12,99.84%,0.41%,8.09%,8.43%,14.97%
3.00%,7318,3265,81540,129,98.27%,3.85%,8.24%,11.47%,15.20%
4.00%,7087,8824,75981,360,95.17%,10.41%,8.53%,17.25%,15.66%
5.00%,6593,18404,66401,854,88.53%,21.70%,9.03%,27.10%,16.39%
6.00%,5886,30734,54071,1561,79.04%,36.24%,9.82%,39.70%,17.46%
7.00%,5330,39209,45596,2117,71.57%,46.23%,10.47%,48.28%,18.26%
8.00%,4645,48265,36540,2802,62.37%,56.91%,11.28%,57.35%,19.10%
9.00%,4047,55279,29526,3400,54.34%,65.18%,12.05%,64.31%,19.73%
10.00%,3529,60610,24195,3918,47.39%,71.47%,12.73%,69.53%,20.07%
11.00%,2868,66707,18098,4579,38.51%,78.66%,13.68%,75.42%,20.19%
12.00%,2208,71842,12963,5239,29.65%,84.71%,14.55%,80.27%,19.52%
13.00%,1525,76367,8438,5922,20.48%,90.05%,15.31%,84.43%,17.52%
14.00%,973,79929,4876,6474,13.07%,94.25%,16.64%,87.70%,14.64%
15.00%,490,82444,2361,6957,6.58%,97.22%,17.19%,89.90%,9.52%
16.00%,225,83785,1020,7222,3.02%,98.80%,18.07%,91.07%,5.18%
17.00%,123,84263,542,7324,1.65%,99.36%,18.50%,91.47%,3.03%
18.00%,11,84758,47,7436,0.15%,99.94%,18.97%,91.89%,0.29%
19.00%,9,84774,31,7438,0.12%,99.96%,22.50%,91.90%,0.24%
20.00%,1,84793,12,7446,0.01%,99.99%,7.69%,91.92%,0.03%
21.00%,0,84803,2,7447,0.00%,100.00%,0.00%,91.93%,0.00%
22.00%,0,84805,0,7447,0.00%,100.00%,,91.93%,0.00%
23.00%,0,84805,0,7447,0.00%,100.00%,,91.93%,0.00%
24.00%,0,84805,0,7447,0.00%,100.00%,,91.93%,0.00%
25.00%,0,84805,0,7447,0.00%,100.00%,,91.93%,0.00%
26.00%,0,84805,0,7447,0.00%,100.00%,,91.93%,0.00%
27.00%,0,84805,0,7447,0.00%,100.00%,,91.93%,0.00%
28.00%,0,84805,0,7447,0.00%,100.00%,,91.93%,0.00%
29.00%,0,84805,0,7447,0.00%,100.00%,,91.93%,0.00%
30.00%,0,84805,0,7447,0.00%,100.00%,,91.93%,0.00%
