VARIABLE,BIN_VALUE,WOE
AGE,20-29,-0.3863
AGE,30-39,-0.18906
AGE,40-49,0.05966
AGE,50-59,0.2978
AGE,60+,0.52941
,,
EMPLOYMENT,<1,-0.33881
EMPLOYMENT,1-3,-0.34921
EMPLOYMENT,3-5,-0.19818
EMPLOYMENT,5-10,0.09848
EMPLOYMENT,10+,0.47355
,,
INCOME_TYPE,Commercial associate,0.08209
INCOME_TYPE,Other / Rare,-0.92841
INCOME_TYPE,Pensioner,0.43345
INCOME_TYPE,State servant,0.36335
INCOME_TYPE,Working,-0.18868
,,
EDUCATION,Academic degree,1.55031
EDUCATION,Higher education,0.43959
EDUCATION,Incomplete higher,-0.05428
EDUCATION,Lower secondary,-0.33434
EDUCATION,Secondary / secondary special,-0.11149
,,
FAMILY,Civil marriage,-0.22907
FAMILY,Married,0.07124
FAMILY,Separated,-0.01622
FAMILY,Single / not married,-0.21369
FAMILY,Unknown,-1.04617
FAMILY,Widow,0.35067
,,
CREDIT_AMOUNT,<250K,0.13461
CREDIT_AMOUNT,250K-500K,-0.15526
CREDIT_AMOUNT,500K-1M,-0.06705
CREDIT_AMOUNT,1M+,0.3431
